idx,kernel_dir,op,hbm_allocs,lx_allocs,class_kind,communication_class,requires_staged_realization,file
240,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_240.json
257,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_257.json
274,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_274.json
291,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_291.json
308,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_308.json
325,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_325.json
342,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_342.json
359,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_359.json
376,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_376.json
393,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_393.json
410,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_410.json
427,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_427.json
444,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_444.json
461,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_461.json
478,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_478.json
495,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_495.json
512,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_512.json
529,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_529.json
