M,K,N,mode,graph_contract,warmups,repetitions,kernel_name,kernel_event_count,kernel_mean_us,kernel_p50_us,kernel_p05_us,kernel_p95_us,kernel_stdev_us,kernel_min_us,kernel_max_us,effective_matmul_tflops,correctness_passed,correctness_relative_l2,correctness_max_abs,benchmark_sha256,wrapper_sha256,result_path
64,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,47.24015,47.29900000000001,45.3914,48.33405,0.8218751521913007,45.342,48.867,11.364716496454816,True,0.014626658521592617,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m64_k4096_n1024/fp8/profile/result.json
128,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,69.9641,69.755,68.8987,71.72489999999999,0.9392750227814272,68.893,72.616,15.347039753244879,True,0.020593954250216484,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m128_k4096_n1024/fp16/profile/result.json
128,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,54.899950000000004,54.1235,52.82305,57.50545,1.8405903365067697,52.672,59.338,19.558156683202807,True,0.014634453691542149,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m128_k4096_n1024/fp8/profile/result.json
256,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,82.70195,82.6255,81.6166,84.09055000000001,0.8750573800734754,81.115,84.842,25.966541877186692,True,0.020587526261806488,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m256_k4096_n1024/fp16/profile/result.json
256,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,69.2255,69.2815,66.6217,71.1621,1.5052899178703418,66.616,71.886,31.021569334999388,True,0.014632759615778923,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m256_k4096_n1024/fp8/profile/result.json
512,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,105.84470000000002,105.9045,104.7065,107.07679999999999,1.014862816760031,104.108,108.498,40.578010009003755,True,0.020590880885720253,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m512_k4096_n1024/fp16/profile/result.json
512,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,108.17490000000001,108.12100000000001,107.9439,108.71835,0.25833269043496615,107.828,108.877,39.70391741522293,True,0.014630557037889957,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m512_k4096_n1024/fp8/profile/result.json
1024,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,174.17665,174.0635,173.7024,175.15795,0.4632230649425153,173.596,175.423,49.31737171429121,True,0.020588066428899765,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m1024_k4096_n1024/fp16/profile/result.json
1024,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,240.93085000000002,241.07049999999998,239.61929999999998,241.92995,0.7386014718442706,239.454,241.986,35.65311205269063,True,0.014623329974710941,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m1024_k4096_n1024/fp8/profile/result.json
2048,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,301.34665,301.39099999999996,300.79055000000005,301.8335,0.4118404487943833,300.668,302.375,57.01032078504938,True,0.02059153839945793,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m2048_k4096_n1024/fp16/profile/result.json
2048,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,464.97065000000003,465.027,463.88165,465.91275,0.8474549064233691,462.545,465.965,36.94828734673898,True,0.014625119976699352,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m2048_k4096_n1024/fp8/profile/result.json
