mode,status,family,case,boundary_model,classification,shape,size,restickify_count,bytes_moved,byte_hops,avg_hops,max_hops,source_kinds,skip_reasons,compile_run_ms,median_ms,p10_ms,p90_ms,error_type,error,hbm_oneway_us,hbm_roundtrip_us,riu_aggregate_us,riu_one_direction_us,lx_balanced_us,lx_single_core_us
stage3b,ok,view_chain,chain_transposed_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,128x128,128,1,32768,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1024.123,0.061,0.055,0.065,,,0.197,0.395,0.000,0.000,0.015,0.468
baseline,ok,view_chain,chain_transposed_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1398.998,0.095,0.092,0.097,,,3.158,6.317,0.000,0.000,0.234,7.490
stage3b,ok,view_chain,chain_transposed_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1263.905,0.098,0.095,0.100,,,3.158,6.317,0.000,0.000,0.234,7.490
baseline,ok,view_chain,chain_transposed_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1455.923,0.212,0.208,0.219,,,12.633,25.267,0.000,0.000,0.936,29.959
stage3b,ok,view_chain,chain_transposed_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1227.014,0.217,0.211,0.224,,,12.633,25.267,0.000,0.000,0.936,29.959
baseline,ok,view_chain,chain_transposed_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1339.573,0.690,0.683,0.698,,,50.534,101.068,0.000,0.000,3.745,119.837
stage3b,ok,view_chain,chain_transposed_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1443.103,0.691,0.683,0.696,,,50.534,101.068,0.000,0.000,3.745,119.837
baseline,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,128x128,128,2,65536,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",1601.665,0.084,0.080,0.090,,,0.395,0.790,0.000,0.000,0.029,0.936
stage3b,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,128x128,128,2,65536,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",1617.948,0.087,0.083,0.091,,,0.395,0.790,0.000,0.000,0.029,0.936
baseline,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,512x512,512,2,1048576,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",1914.642,0.145,0.139,0.150,,,6.317,12.633,0.000,0.000,0.468,14.980
stage3b,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,512x512,512,2,1048576,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",1898.353,0.140,0.137,0.143,,,6.317,12.633,0.000,0.000,0.468,14.980
baseline,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,1024x1024,1024,2,4194304,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2021.507,0.389,0.383,0.396,,,25.267,50.534,0.000,0.000,1.872,59.919
stage3b,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,1024x1024,1024,2,4194304,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2341.874,0.391,0.377,0.394,,,25.267,50.534,0.000,0.000,1.872,59.919
baseline,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,2,16777216,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2076.297,1.369,1.344,1.379,,,101.068,202.135,0.000,0.000,7.490,239.675
stage3b,ok,fanout,fanout_intermediate,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,2,16777216,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2008.465,1.368,1.357,1.394,,,101.068,202.135,0.000,0.000,7.490,239.675
