mode,status,family,case,boundary_model,classification,shape,size,restickify_count,bytes_moved,byte_hops,avg_hops,max_hops,source_kinds,skip_reasons,locality_assertions,locality_certified_rows,certified_byte_hops,compile_run_ms,median_ms,p10_ms,p90_ms,error_type,error,hbm_oneway_us,hbm_roundtrip_us,riu_aggregate_us,riu_one_direction_us,lx_balanced_us,lx_single_core_us
baseline,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,2048x2048,2048,2,16777216,67108864,4.000,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}","{""not-run"": 2}",0,0,3334.879,1.746,1.729,1.760,,,101.068,202.135,201.528,404.270,7.490,239.675
stage3b,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,2,16777216,0,0.000,0,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}","{""passed"": 1, ""skipped"": 1}",1,0,2312.721,1.709,1.696,1.718,,,101.068,202.135,0.000,0.000,7.490,239.675
