phase,mode,artifact,status,scenario,case,shape,size,restickify_count,total_bytes,ring_rows,ring_total_bytes,ring_total_byte_hops,ring_avg_hops,ring_max_hops,ring_source_kinds,ring_skip_reasons,ring_exact_rows,ring_skipped_rows,median_ms,p10_ms,p90_ms,error_type,error
timed,base,timed-base/matmul_lhs_wrong_stick_2048/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.8534956723451614,0.8481796830892563,0.8627735078334808,,
timed,base,timed-base/matmul_rhs_wrong_stick_2048/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.8493904024362564,0.845048576593399,0.8563492447137833,,
timed,base,timed-base/matmul_then_add_2048/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,1.1127889156341553,1.0973308235406876,1.1327527463436127,,
timed,base,timed-base/pointwise_three_mixed_2048/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.7277857512235641,0.7146615535020828,0.7511675357818604,,
timed,base,timed-base/pointwise_transpose_add_2048/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.41390396654605865,0.40885619819164276,0.41794031858444214,,
timed,base,timed-base/prefill_projection_join_2048/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=2048,hidden=512",2048,2,4194304,2,4194304,16777216,4.0,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.33769942820072174,0.32832473516464233,0.3425460308790207,,
timed,base,timed-base/prefill_projection_join_512/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=512,hidden=512",512,2,1048576,2,1048576,1376256,1.3125,7,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.1340676099061966,0.13111531734466553,0.1393090933561325,,
timed,base,timed-base/transpose_chain_2048/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.6893109530210495,0.6805695593357086,0.699017196893692,,
timed,stage3b,timed-stage3b/adds_then_matmul_128/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,128x128,128,2,65536,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.08097570389509201,0.07625296711921692,0.0880509614944458,,
timed,stage3b,timed-stage3b/adds_then_matmul_2048/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,2048x2048,2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,1.47920660674572,1.4645252376794815,1.4983434230089188,,
timed,stage3b,timed-stage3b/adds_then_matmul_512/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,512x512,512,2,1048576,2,1048576,655360,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.13019144535064697,0.12704916298389435,0.13342499732971191,,
timed,stage3b,timed-stage3b/attention_prefill_no_softmax_2048/restickify_scenarios.jsonl,ok,attention_model_slice,attention_prefill_no_softmax,"batch=1,heads=4,seq=2048,head_dim=64",2048,2,34603008,2,34603008,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,3.0149640515446663,3.007126972079277,3.023827448487282,,
timed,stage3b,timed-stage3b/attention_score_join_value_projection_2048/restickify_scenarios.jsonl,ok,attention_forward_block_stress,attention_score_join_value_projection,"tokens=2048,hidden=2048",2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,2.400863915681839,2.382410690188408,2.4249646812677383,,
timed,stage3b,timed-stage3b/decode_projection_join_2048/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=2048,hidden=512",2048,2,4194304,2,4194304,2621440,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.33462047576904297,0.32820552587509155,0.33865123987197876,,
timed,stage3b,timed-stage3b/decode_projection_join_512/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=512,hidden=512",512,2,1048576,2,1048576,655360,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.13000424951314926,0.1256689429283142,0.13374723494052887,,
timed,stage3b,timed-stage3b/fanout_diamond_2048/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,2048x2048,2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,1.3726484030485153,1.3543479144573212,1.3911649584770203,,
timed,stage3b,timed-stage3b/linear_weight_transposed_2048/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=2048,hidden=2048,out=2048",2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.8494220674037933,0.8444003760814667,0.8569639176130295,,
timed,stage3b,timed-stage3b/matmul_lhs_wrong_stick_2048/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.8514095097780228,0.8441414684057236,0.8614752441644669,,
timed,stage3b,timed-stage3b/matmul_rhs_wrong_stick_2048/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.853387638926506,0.8452069014310837,0.8598435670137405,,
timed,stage3b,timed-stage3b/matmul_then_add_2048/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,1.1182799935340881,1.1009890586137772,1.1326167732477188,,
timed,stage3b,timed-stage3b/pointwise_three_mixed_2048/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.7326332852244377,0.7173158228397369,0.752640888094902,,
timed,stage3b,timed-stage3b/pointwise_transpose_add_2048/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.4129605367779732,0.4096291959285736,0.4160664975643158,,
timed,stage3b,timed-stage3b/prefill_projection_join_2048/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=2048,hidden=512",2048,2,4194304,2,4194304,2621440,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.3311866894364357,0.3236345946788788,0.3376193344593048,,
timed,stage3b,timed-stage3b/prefill_projection_join_512/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=512,hidden=512",512,2,1048576,2,1048576,655360,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.12817513197660446,0.12611225247383118,0.13132020831108093,,
timed,stage3b,timed-stage3b/transpose_chain_2048/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.6848592311143875,0.6787814199924469,0.6969794631004333,,
