case,file,same,claude_sha,codex_sha,claude_size,codex_size
decode_attnatV_32x64x128x576_1_32_1_1,execute_dsg.txt,False,9ad4cf249c8f0598c893193604dd98765e7782a1565f7c7d9c190ce8dc2fdc38,b2252f7e9c9dda18d57afdeda8ea353ad928430074c154aa029b882698713877,118,118
decode_attnatV_32x64x128x576_1_32_1_1,loadmodel_to_device_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
decode_attnatV_32x64x128x576_1_32_1_1,loadmodel_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
decode_attnatV_32x64x128x576_1_32_1_1,loadprogram_to_device_dsg.txt,False,20eade0d75085c040cd16f0d962db5a7830e49c4ab0d2bcc517faeee5fd68ad7,3aa770e678939be24b2edd9277dfdbdb3c499ecd73bb4ff6851faecaf11a439e,111,111
decode_attnatV_32x64x128x576_1_32_1_1,loadprogram_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
decode_attnatV_32x64x128x576_1_32_1_1,segment_size.json,False,4e42443597101b5f9a44f1dc47d89bf2afaec307eb834a0ac1c4e43c4846d872,f29abce67d89d09f1c8c0ecff1b5c5a0c47bd3c4eb072f045e1df8190a9349bf,402,402
decode_attnatV_32x64x128x576_1_32_1_1,init.txt,False,9630d5aa707b73bd50baa411fd4ea885766327c0c60d9b54062e4ac6ba9f1cb7,e22224f0593b46d81c17d6cf729c7477fd8b5d96361e8c32897c4bb2a3ccebfc,16705,15934
decode_attnatV_32x64x128x576_1_32_1_1,pagi.json,False,be96311c8b110fa5af3646b37fe9e1ef686914ffd4c6a6d97124359c9155563e,6a76c17516726dd844f6479ad687ed437cafae51314710c28a3afc1a0299d1ae,215,215
decode_attnatV_32x64x128x576_2_8_2_1,bundle.mlir,True,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,110,110
decode_attnatV_32x64x128x576_2_8_2_1,sdsc_0.json,True,4dba704c423c8c2a542334eb8c22cdb6c5ed3ec1e157463bdab9c1e951010470,4dba704c423c8c2a542334eb8c22cdb6c5ed3ec1e157463bdab9c1e951010470,36512,36512
decode_attnatV_32x64x128x576_2_8_2_1,execute_dsg.txt,False,9741a6f543371f4a3696e610d0739b85c8339ff5f5af588621bdb151f9a82122,e04da06584cc802b5393c59ad2ea5f05cc0a92bbcf2707a5934ca8a54887725a,118,118
decode_attnatV_32x64x128x576_2_8_2_1,loadmodel_to_device_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
decode_attnatV_32x64x128x576_2_8_2_1,loadmodel_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
decode_attnatV_32x64x128x576_2_8_2_1,loadprogram_to_device_dsg.txt,False,45482dbe3802866c135ee5791c64fe071bf22a7e6a6095e805cc9c7765c02462,0ec1588f95901a3a1a9c92552ce1a8330c67795410913cd03f4b61d6bb62c50e,112,112
decode_attnatV_32x64x128x576_2_8_2_1,loadprogram_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
decode_attnatV_32x64x128x576_2_8_2_1,segment_size.json,False,d185582c2050333eff390238752a23053eab5f5b152d037f889be41a01b4224f,a7a724343f8011634215cf19f8a69e303047a9e21e4a1d3c4f483be8153b5acd,402,403
decode_attnatV_32x64x128x576_2_8_2_1,init.txt,False,c92f9ef4f3e6542f1a2f90f4d130de0d8ed935eb75ae03d3b54cfcc442cba353,2f001ef31bc3bf9f18737a970ec014c9768ec8bf88a0e5f8fd3444a6351ff9a1,21845,28270
decode_attnatV_32x64x128x576_2_8_2_1,pagi.json,False,e659fe1e841fdb906eb708a377021a989137e86e496aaca7f6723fd55272cb52,c2694c62b30b26e09c2af09c060b84408f39ac612e0d42130822721aecf56708,215,215
