json_file,root,op,cores,tensor,role,loc,layout_wkslices,address,coreIdToWkSlice,schedule
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_12.json,12_exp,exp,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x100000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_12.json,12_exp,exp,32,1_Tensor1,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x100000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_13.json,13_sum,sum,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x100000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_13.json,13_sum,sum,32,1_Tensor1,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_14.json,14_realdiv,realdiv,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x100000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_14.json,14_realdiv,realdiv,32,1_Tensor1,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_14.json,14_realdiv,realdiv,32,2_Tensor2,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x100000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_15.json,15_identity,identity,32,0_Tensor0,OUTPUT,hbm+lx,"layout=out,mb,y,x; stick=out; stick_size=[64]",-0x156..-0x137 (32 unique),mb=0 out=0 x=0 y=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_15.json,15_identity,identity,32,1_Tensor1,OUTPUT,hbm+lx,"layout=out,mb,y,x; stick=out; stick_size=[64]",-0x176..-0x157 (32 unique),mb=0 out=0 x=0 y=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_16.json,16_batchmatmul,batchmatmul,32,0_Tensor0,INPUT,lx,"layout=x,in,mb; stick=in; stick_size=[64]",0x100000,in=0 mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
